ID,Feedground,Capture Date,Start Interval,Stop Interval,Event Type,Brucella,Data Quality
538,HA99,3/16/2011,6/12/2011,6/13/2011,Birth,NEG,1
539,Soda,3/5/2007,,,Unknown,POS,7
540,Forest,2/1/2012,5/13/2012,5/14/2012,Birth,NEG,1
541,Forest,2/1/2012,6/25/2012,7/2/2012,Birth,NEG,2
542,Forest,2/1/2012,,,Unknown,NEG,7
543,Forest,2/1/2012,6/4/2012,6/20/2012,Birth,POS,2
544,Forest,2/1/2012,6/2/2012,6/3/2012,Birth,POS,1
545,Buffalo,3/1/2006,3/1/2006,5/23/2006,Birth,NEG,5
546,Buffalo,3/1/2006,3/1/2006,6/1/2006,Birth,NEG,5
547,Buffalo,3/1/2006,,,Unknown,NEG,7
548,Buffalo,3/1/2006,,,Unknown,NEG,7
549,Buffalo,3/1/2006,3/1/2006,6/6/2006,Birth,NEG,5
550,Buffalo,3/1/2006,3/1/2006,5/27/2006,Birth,NEG,5
551,Buffalo,3/1/2006,3/1/2006,5/24/2006,Birth,NEG,5
552,Buffalo,3/1/2006,3/1/2006,5/22/2006,Birth,POS,5
553,Buffalo,3/1/2006,3/1/2006,6/6/2006,Birth,NEG,5
554,Buffalo,3/1/2006,3/1/2006,6/5/2006,Birth,NEG,5
